_time,sender,subject,attachments,recipients,recipients_email_domain,leaver,Termination,time_month,account_type,wordlist_attachment,wordlist_subject,bunit,department,status,user_response,final_outcome,policy_name
2025-07-14T08:24:12.280583,carol@company.com,Quarterly Report,report.pdf,dave@external.com,external.com,YES,2025-07,2025-07,contractor,-,-,HR,Recruitment,Critical,a,f,policy_A
2025-07-06T08:24:12.280656,alice@company.com,Resignation Letter,report.pdf,erin@partner.org,partner.org,NO,2025-08,2025-07,contractor,-,-,Finance,Accounting,Low,b,g,Ploicy_B
2025-07-15T08:24:12.280685,carol@company.com,Confidential Proposal,report.pdf,erin@partner.org,partner.org,NO,2025-09,2025-07,employee,-,-,Finance,Development,Low,c,h,policy_A
2025-07-07T08:24:12.280711,alice@company.com,Confidential Proposal,report.pdf,erin@partner.org,partner.org,YES,2025-10,2025-07,contractor,-,-,Finance,Accounting,High,a,f,Ploicy_B
2025-07-10T08:24:12.280737,bob@company.com,Quarterly Report,report.pdf,erin@partner.org,partner.org,YES,2025-11,2025-07,intern,-,-,HR,Recruitment,High,b,g,policy_A
2025-07-02T08:24:12.280762,bob@company.com,Resignation Letter,org.pdf,erin@partner.org,partner.org,NO,2025-12,2025-07,employee,-,-,HR,Accounting,Medium,c,h,policy_A
2025-06-27T08:24:12.280787,carol@company.com,Quarterly Report,-,erin@partner.org,partner.org,YES,2025-13,2025-06,employee,-,-,Engineering,Recruitment,Medium,a,f,policy_A
2025-06-23T08:24:12.280813,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-14,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-17T08:24:12.280844,carol@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-15,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-16T08:24:12.280868,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-16,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-17T08:24:12.280845,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-17,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-16T08:24:12.280869,bob@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-18,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-17T08:24:12.280846,carol@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-19,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-16T08:24:12.280870,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-20,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-17T08:24:12.280847,carol@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-21,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-16T08:24:12.280871,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-22,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-17T08:24:12.280848,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-23,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-16T08:24:12.280872,bob@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-24,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-17T08:24:12.280849,carol@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-25,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-16T08:24:12.280873,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-26,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-17T08:24:12.280850,carol@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-27,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-16T08:24:12.280874,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-28,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-17T08:24:12.280851,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-29,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-16T08:24:12.280875,bob@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-30,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-17T08:24:12.280852,carol@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-31,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-16T08:24:12.280876,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-32,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-17T08:24:12.280853,carol@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-33,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-16T08:24:12.280877,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-34,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-17T08:24:12.280854,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-35,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-16T08:24:12.280878,bob@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-36,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-17T08:24:12.280855,carol@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-37,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-16T08:24:12.280879,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-38,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-17T08:24:12.280856,carol@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-39,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-16T08:24:12.280880,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-40,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-17T08:24:12.280857,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-41,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-16T08:24:12.280881,bob@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-42,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-17T08:24:12.280858,carol@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-43,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-16T08:24:12.280882,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-44,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-17T08:24:12.280859,carol@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-45,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-16T08:24:12.280883,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-46,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-17T08:24:12.280860,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-47,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-16T08:24:12.280884,bob@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-48,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-17T08:24:12.280861,carol@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-49,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-16T08:24:12.280885,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-50,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-17T08:24:12.280862,carol@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-51,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-16T08:24:12.280886,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-52,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-17T08:24:12.280863,carol@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-53,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
2025-06-16T08:24:12.280887,bob@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-54,2025-06,contractor,confidential,confidential,Finance,Accounting,Low,c,h,policy_A
2025-06-17T08:24:12.280864,carol@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,YES,2025-55,2025-06,contractor,salary,salary,Engineering,Accounting,Critical,a,f,policy_A
2025-06-16T08:24:12.280888,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-56,2025-06,employee,-,-,Engineering,Recruitment,Critical,b,g,policy_A
