_time,sender,subject,attachments,recipients,recipients_email_domain,leaver,Termination,time_month,account_type,wordlist_attachment,wordlist_subject,bunit,department,status,user_response,final_outcome,policy_name
2025-07-19T13:36:17,alice@company.com,Resignation Letter,contract.pdf,sara@client.com,client.com,NO,2025-11,2025-07,employee,salary,salary,Finance,Development,Low,b,h,Ploicy_B
2025-07-15T09:39:39,alice@company.com,Project Update,cv.pdf,sara@client.com,client.com,YES,2025-10,2025-07,intern,-,confidential,Engineering,Development,Critical,c,g,policy_C
2025-06-04T07:06:07,carol@company.com,Resignation Letter,contract.pdf,dave@external.com,external.com,YES,2025-12,2025-07,employee,-,confidential,Finance,Development,Medium,c,f,policy_A
2025-07-14T11:16:04,carol@company.com,Confidential Proposal,contract.pdf,john@vendor.org,vendor.org,YES,2025-12,2025-07,contractor,confidential,confidential,Finance,Recruitment,High,c,h,policy_A
2025-07-05T20:58:18,alice@company.com,Quarterly Report,home.pdf,dave@external.com,external.com,YES,2025-07,2025-07,intern,-,salary,Finance,Accounting,Medium,c,g,policy_C
2025-06-05T17:40:49,dave@company.com,Confidential Proposal,org.pdf,john@vendor.org,vendor.org,YES,2025-08,2025-07,employee,confidential,salary,Finance,Accounting,Critical,b,f,policy_C
2025-07-26T21:07:07,bob@company.com,Confidential Proposal,-,erin@partner.org,partner.org,YES,2025-07,2025-07,employee,confidential,salary,Finance,Recruitment,Low,c,g,policy_C
2025-07-25T20:05:58,carol@company.com,Confidential Proposal,-,dave@external.com,external.com,NO,2025-12,2025-07,intern,confidential,confidential,Engineering,Development,Low,c,h,policy_C
2025-07-18T09:05:03,carol@company.com,Quarterly Report,cv.pdf,dave@external.com,external.com,YES,2025-08,2025-07,contractor,-,confidential,Engineering,Recruitment,Medium,b,f,policy_C
2025-06-22T07:12:50,alice@company.com,Resignation Letter,home.pdf,erin@partner.org,partner.org,NO,2025-08,2025-07,intern,confidential,-,HR,Recruitment,Medium,c,g,policy_A
2025-06-28T21:50:09,alice@company.com,Confidential Proposal,contract.pdf,erin@partner.org,partner.org,NO,2025-08,2025-07,contractor,-,-,HR,Development,Low,a,h,policy_C
2025-06-13T20:26:42,bob@company.com,Quarterly Report,cv.pdf,erin@partner.org,partner.org,NO,2025-10,2025-07,intern,confidential,confidential,Finance,Accounting,Medium,c,f,policy_C
2025-06-21T18:49:41,bob@company.com,Resignation Letter,org.pdf,sara@client.com,client.com,YES,2025-10,2025-07,employee,salary,confidential,HR,Recruitment,High,b,g,policy_A
2025-06-29T10:25:11,carol@company.com,Quarterly Report,org.pdf,erin@partner.org,partner.org,NO,2025-08,2025-07,intern,salary,salary,Engineering,Development,Medium,b,h,Ploicy_B
2025-07-20T09:06:52,bob@company.com,Project Update,org.pdf,erin@partner.org,partner.org,NO,2025-12,2025-07,employee,salary,confidential,HR,Development,High,c,h,policy_A
2025-06-25T04:31:14,carol@company.com,Confidential Proposal,report.pdf,sara@client.com,client.com,YES,2025-08,2025-07,employee,-,-,HR,Accounting,High,b,g,policy_A
